index,text
1,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
2,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
3,Moses had the first tablet that could connect to the cloud.
4,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
5,A clean house is the sign of a broken computer.
6,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
7,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
8,Maybe if we start telling people the brain is an app they will start using it.
9,"A computer once beat me at chess, but it was no match for me at kick boxing."
10,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
11,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
12,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
13,Moses had the first tablet that could connect to the cloud.
14,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
15,A clean house is the sign of a broken computer.
16,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
17,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
18,Maybe if we start telling people the brain is an app they will start using it.
19,"A computer once beat me at chess, but it was no match for me at kick boxing."
20,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
21,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
22,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
23,Moses had the first tablet that could connect to the cloud.
24,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
25,A clean house is the sign of a broken computer.
26,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
27,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
28,Maybe if we start telling people the brain is an app they will start using it.
29,"A computer once beat me at chess, but it was no match for me at kick boxing."
30,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
31,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
32,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
33,Moses had the first tablet that could connect to the cloud.
34,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
35,A clean house is the sign of a broken computer.
36,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
37,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
38,Maybe if we start telling people the brain is an app they will start using it.
39,"A computer once beat me at chess, but it was no match for me at kick boxing."
40,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
41,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
42,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
43,Moses had the first tablet that could connect to the cloud.
44,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
45,A clean house is the sign of a broken computer.
46,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
47,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
48,Maybe if we start telling people the brain is an app they will start using it.
49,"A computer once beat me at chess, but it was no match for me at kick boxing."
50,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
51,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
52,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
53,Moses had the first tablet that could connect to the cloud.
54,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
55,A clean house is the sign of a broken computer.
56,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
57,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
58,Maybe if we start telling people the brain is an app they will start using it.
59,"A computer once beat me at chess, but it was no match for me at kick boxing."
60,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
61,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
62,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
63,Moses had the first tablet that could connect to the cloud.
64,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
65,A clean house is the sign of a broken computer.
66,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
67,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
68,Maybe if we start telling people the brain is an app they will start using it.
69,"A computer once beat me at chess, but it was no match for me at kick boxing."
70,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
71,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
72,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
73,Moses had the first tablet that could connect to the cloud.
74,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
75,A clean house is the sign of a broken computer.
76,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
77,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
78,Maybe if we start telling people the brain is an app they will start using it.
79,"A computer once beat me at chess, but it was no match for me at kick boxing."
80,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
81,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
82,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
83,Moses had the first tablet that could connect to the cloud.
84,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
85,A clean house is the sign of a broken computer.
86,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
87,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
88,Maybe if we start telling people the brain is an app they will start using it.
89,"A computer once beat me at chess, but it was no match for me at kick boxing."
90,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
91,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
92,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
93,Moses had the first tablet that could connect to the cloud.
94,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
95,A clean house is the sign of a broken computer.
96,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
97,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
98,Maybe if we start telling people the brain is an app they will start using it.
99,"A computer once beat me at chess, but it was no match for me at kick boxing."
100,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
101,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
102,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
103,Moses had the first tablet that could connect to the cloud.
104,"The first computer dates back to Adam and Eve. It was an Apple with limited memory, just one byte. And then everything crashed."
105,A clean house is the sign of a broken computer.
106,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.
107,"My mom said that if I don't get off my computer and do my homework she'll slam my head on the keyboard, but I think she's jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn"
108,Maybe if we start telling people the brain is an app they will start using it.
109,"A computer once beat me at chess, but it was no match for me at kick boxing."
110,Q: What do you call the security outside of a Samsung Store? A: Guardians of the Galaxy.
111,I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night.
