index,text
1,"For the fifth year in a row, I've gathered a brand-new list of all of some of the best inspirational quotes of all time, with one quote selected for each and every day of 2020."
2,"(Please note: This is the 2020 list; here's a link to the start of the 2021 edition. Also, you can download the free ebook: 365+ Top Inspirational & Motivational Quotes for 2021.)"
3,"Previous years' editions are here: 2016, 2017, 2018, and 2019."
4,"""I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."" -- Maya Angelou"
5,"""The thing about smart people is that they seem like crazy people to dumb people.""-- Stephen Hawking"
6,"""If you think you are too small to make a difference, try sleeping with a mosquito.""-- Dalai Lama"
7,"""Have no fear of perfection. You'll never reach it.""-- Salvador Dali"
8,"""You can change. And you can be an agent of change.""-- Laura Dern"
9,"""Hard work and education will take you farther than any government program can ever promise.""-- Mia Love"
10,"""Wanting to be a good actor is not good enough. You must want to be a great actor. You just have to have that.""-- Gary Oldman"
11,"""When I first moved to New York, someone who thought they knew more than I did said: 'You have to always look like you know where you're going when you get out of the subway.'""-- Maya Rudolph"
12,"""It's like soul music, isn't it all soul music? Otherwise what is it, non-soul music? I-have-no-soul music? Soulless music? People need to put a name on something to identify it, and I understand it.""-- Mark Lanegan"
13,"""Life has a much bigger plan for you. Happiness is part of that plan. Health is part of that plan. Stability is part of that plan. Constant struggle is not.""-- Kris Carr"
14,"""Just believe in yourself. Even if you don't, pretend that you do and, at some point, you will.""-- Venus Williams"
15,"""The first step is clearly defining what it is you're after, because without knowing that, you'll never get it.""-- Halle Berry"
16,"""What gets celebrated gets replicated.""-- Bradley Cooper"
17,"""Far and away the best prize that life has to offer is the chance to work hard at work worth doing.""-- Theodore Roosevelt"
18,"""You can't do it unless you can imagine it.""-- George Lucas"
19,"""Someday, everything will make perfect sense. So for now, laugh at the confusion, smile through the tears, be strong and keep reminding your self that everything happens for a reason.""-- John Mayer"
20,"""Rarely are opportunities presented to you in a perfect way. In a nice little box with a yellow bow on top. 'Here, open it, it's perfect. You'll love it.' Opportunities -- the good ones -- are messy, confusing and hard to recognize. They're risky. They challenge you.""-- Susan Wojcicki"
