,ID,Start time,Completion time,Email,Name,Language,AlreadyUse,HasInterest,PossibleFunctions,Other,KnowYourName,Subtitles,Formal/informal,M/F/NB,Age,Gender
0,1,2022-02-10 17:12:48,2022-02-10 17:15:08,anonymous,,Dansk,Nej,Ja,Informationssøgning på Google,Gemme det arbejde man er i gang med,Nej,Ja,Formelt sprog,Kvinde,25-34,Kvinde
1,1,2022-02-10 17:12:48,2022-02-10 17:15:08,anonymous,,Dansk,Nej,Ja,Oversættelse til et valgfrit sprog (Google oversæt),Gemme det arbejde man er i gang med,Nej,Ja,Formelt sprog,Kvinde,25-34,Kvinde
2,1,2022-02-10 17:12:48,2022-02-10 17:15:08,anonymous,,Dansk,Nej,Ja,To-do liste,Gemme det arbejde man er i gang med,Nej,Ja,Formelt sprog,Kvinde,25-34,Kvinde
3,1,2022-02-10 17:12:48,2022-02-10 17:15:08,anonymous,,Dansk,Nej,Ja,"""Fortæl mig en vittighed""",Gemme det arbejde man er i gang med,Nej,Ja,Formelt sprog,Kvinde,25-34,Kvinde
4,1,2022-02-10 17:12:48,2022-02-10 17:15:08,anonymous,,Dansk,Nej,Ja,Åbner programmer på din desktop,Gemme det arbejde man er i gang med,Nej,Ja,Formelt sprog,Kvinde,25-34,Kvinde
5,1,2022-02-10 17:12:48,2022-02-10 17:15:08,anonymous,,Dansk,Nej,Ja,,Gemme det arbejde man er i gang med,Nej,Ja,Formelt sprog,Kvinde,25-34,Kvinde
6,2,2022-02-10 17:15:01,2022-02-10 17:19:38,anonymous,,Dansk,Nej,Ja,Informationssøgning på Google,Har ikke andre forslag,Nej,Ja,Formelt sprog,Mand,55-64,Kvinde
7,2,2022-02-10 17:15:01,2022-02-10 17:19:38,anonymous,,Dansk,Nej,Ja,Oplæse indkomne emails,Har ikke andre forslag,Nej,Ja,Formelt sprog,Mand,55-64,Kvinde
8,2,2022-02-10 17:15:01,2022-02-10 17:19:38,anonymous,,Dansk,Nej,Ja,Påmindelser (du vælger hvornår),Har ikke andre forslag,Nej,Ja,Formelt sprog,Mand,55-64,Kvinde
9,2,2022-02-10 17:15:01,2022-02-10 17:19:38,anonymous,,Dansk,Nej,Ja,Sende emails,Har ikke andre forslag,Nej,Ja,Formelt sprog,Mand,55-64,Kvinde
10,2,2022-02-10 17:15:01,2022-02-10 17:19:38,anonymous,,Dansk,Nej,Ja,,Har ikke andre forslag,Nej,Ja,Formelt sprog,Mand,55-64,Kvinde
11,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Informationssøgning på Google,Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
12,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Informationssøgning på Wikipedia,Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
13,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Oversættelse til et valgfrit sprog (Google oversæt),Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
14,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Sende emails,Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
15,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Oplæse indkomne emails,Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
16,3,2022-02-10 17:22:48,2022-02-10 17:25:34,anonymous,,Dansk,Ja,Ja,Oprette notater / tekst filer som i dikterer,Nej ,Ja,Ja,Familiært sprog,Mand,45-54,Mand
